"s","l","n"
"http://dbpedia.org/resource/Pick_n_Pay_Stores","http://dbpedia.org/resource/South_Africa",85000
"http://dbpedia.org/resource/CRH_plc","http://dbpedia.org/resource/Ireland",85000
"http://dbpedia.org/resource/ICICI_Bank","http://dbpedia.org/resource/India",84922
"http://dbpedia.org/resource/Audi_India","http://dbpedia.org/resource/India",84435
"http://dbpedia.org/resource/Bupa","http://dbpedia.org/resource/United_Kingdom",83000
"http://dbpedia.org/resource/Wistron","http://dbpedia.org/resource/Taiwan",82955
"http://dbpedia.org/resource/Tata_Motors","http://dbpedia.org/resource/India",82797
"http://dbpedia.org/resource/BDO_Global","http://dbpedia.org/resource/Belgium",80087
"http://dbpedia.org/resource/Geely","http://dbpedia.org/resource/China",80000
"http://dbpedia.org/resource/Maersk","http://dbpedia.org/resource/Denmark",79900
"http://dbpedia.org/resource/Omnicom_Group","http://dbpedia.org/resource/United_States_of_America",79500
"http://dbpedia.org/resource/Grupo_Aval","http://dbpedia.org/resource/Colombia",78697
"http://dbpedia.org/resource/Würth","http://dbpedia.org/resource/Germany",78686
"http://dbpedia.org/resource/Basque_Government","http://dbpedia.org/resource/Spain",78000
"http://dbpedia.org/resource/Bureau_Veritas","http://dbpedia.org/resource/France",78000
"http://dbpedia.org/resource/Philip_Morris_International","http://dbpedia.org/resource/Switzerland",77400
"http://dbpedia.org/resource/Philips","http://dbpedia.org/resource/Netherlands",77400
"http://dbpedia.org/resource/Royal_Caribbean_Group","http://dbpedia.org/resource/United_States",77000
"http://dbpedia.org/resource/Vedanta_Limited","http://dbpedia.org/resource/India",76752
"http://dbpedia.org/resource/Billa_(supermarket)","http://dbpedia.org/resource/Austria",76174
"http://dbpedia.org/resource/Saudi_Aramco","http://dbpedia.org/resource/Saudi_Arabia",76000
"http://dbpedia.org/resource/Puerto_Rico_Department_of_Education","http://dbpedia.org/resource/Puerto_Rico",75000
"http://dbpedia.org/resource/Nichii_Gakkan","http://dbpedia.org/resource/Japan",74701
"http://dbpedia.org/resource/Sumitomo_Corporation","http://dbpedia.org/resource/Japan",74638
"http://dbpedia.org/resource/Affiliated_Computer_Services","http://dbpedia.org/resource/United_States",74000
"http://dbpedia.org/resource/Ukrposhta","http://dbpedia.org/resource/Ukraine",73000
"http://dbpedia.org/resource/LG_Electronics","http://dbpedia.org/resource/South_Korea",72600
"http://dbpedia.org/resource/Eurasian_Natural_Resources_Corporation","http://dbpedia.org/resource/United_Kingdom",72000
"http://dbpedia.org/resource/HBOS","http://dbpedia.org/resource/United_Kingdom",72000
"http://dbpedia.org/resource/HBOS","http://dbpedia.org/resource/Scotland",72000
"http://dbpedia.org/resource/HBOS","http://dbpedia.org/resource/England",72000
"http://dbpedia.org/resource/Strabag","http://dbpedia.org/resource/Austria",71839
"http://dbpedia.org/resource/TUI_Group","http://dbpedia.org/resource/Germany",71473
"http://dbpedia.org/resource/Royal_Bank_of_Scotland","http://dbpedia.org/resource/Scotland",71200
"http://dbpedia.org/resource/Future_Group","http://dbpedia.org/resource/India",71000
"http://dbpedia.org/resource/Goldstone_Tires","http://dbpedia.org/resource/Iran",71000
"http://dbpedia.org/resource/Holcim","http://dbpedia.org/resource/Switzerland",71000
"http://dbpedia.org/resource/Eiffage","http://dbpedia.org/resource/France",70893
"http://dbpedia.org/resource/Grupo_Carso","http://dbpedia.org/resource/Mexico",70736
"http://dbpedia.org/resource/Kyocera","http://dbpedia.org/resource/Japan",70153
"http://dbpedia.org/resource/Dräxlmaier_Group","http://dbpedia.org/resource/Germany",70000
"http://dbpedia.org/resource/Bakrie_Group","http://dbpedia.org/resource/Indonesia",70000
"http://dbpedia.org/resource/Indofood","http://dbpedia.org/resource/Indonesia",70000
"http://dbpedia.org/resource/Quanta_Computer","http://dbpedia.org/resource/Taiwan",70000
"http://dbpedia.org/resource/PKP_Group","http://dbpedia.org/resource/Poland",69422
"http://dbpedia.org/resource/Tyco_International","http://dbpedia.org/resource/United_States",69000
"http://dbpedia.org/resource/Southern_and_Eastern_Norway_Regional_Health_Authority","http://dbpedia.org/resource/Norway",69000
"http://dbpedia.org/resource/Tyco_International","http://dbpedia.org/resource/Republic_of_Ireland",69000
"http://dbpedia.org/resource/CNH_Industrial","http://dbpedia.org/resource/Italy",68257
"http://dbpedia.org/resource/CNH_Industrial","http://dbpedia.org/resource/Netherlands",68257
"http://dbpedia.org/resource/ZTE","http://dbpedia.org/resource/China",68240
